,tile_name,left,bottom,right,top
418,10DZ2,155000.0,550000.0,160000.0,556250.0
419,39CN2,145000.0,431250.0,150000.0,437500.0
420,45EZ1,160000.0,412500.0,165000.0,418750.0
421,14EZ2,125000.0,537500.0,130000.0,543750.0
422,12BZ2,235000.0,562500.0,240000.0,568750.0
423,51HZ1,170000.0,375000.0,175000.0,381250.0
424,06GZ2,205000.0,575000.0,210000.0,581250.0
425,25DZ1,110000.0,475000.0,115000.0,481250.0
426,37AZ1,60000.0,437500.0,65000.0,443750.0
427,38DZ2,115000.0,425000.0,120000.0,431250.0
428,65BZ2,35000.0,393750.0,40000.0,400000.0
429,38EN1,120000.0,443750.0,125000.0,450000.0
430,26DN2,155000.0,481250.0,160000.0,487500.0
431,52AN1,180000.0,393750.0,185000.0,400000.0
432,16AZ1,180000.0,537500.0,185000.0,543750.0
433,45HZ2,175000.0,400000.0,180000.0,406250.0
434,64HZ2,55000.0,406250.0,60000.0,412500.0
435,06GZ1,200000.0,575000.0,205000.0,581250.0
436,43CZ2,65000.0,400000.0,70000.0,406250.0
437,58GN1,200000.0,356250.0,205000.0,362500.0
438,41DN2,235000.0,431250.0,240000.0,437500.0
439,49GZ2,85000.0,375000.0,90000.0,381250.0
440,32GN2,165000.0,456250.0,170000.0,462500.0
441,33BN2,195000.0,468750.0,200000.0,475000.0
442,16CZ2,185000.0,525000.0,190000.0,531250.0
443,49BN2,75000.0,393750.0,80000.0,400000.0
444,51FN1,170000.0,393750.0,175000.0,400000.0
445,69AN1,170000.0,318750.0,175000.0,325000.0
446,16BZ2,195000.0,537500.0,200000.0,543750.0
447,37EZ1,80000.0,437500.0,85000.0,443750.0
448,50EZ2,125000.0,387500.0,130000.0,393750.0
449,50AN1,100000.0,393750.0,105000.0,400000.0
450,07GZ2,245000.0,575000.0,250000.0,581250.0
451,09HZ2,135000.0,550000.0,140000.0,556250.0
452,17EZ2,245000.0,537500.0,250000.0,543750.0
453,33AZ1,180000.0,462500.0,185000.0,468750.0
454,12BN2,235000.0,568750.0,240000.0,575000.0
455,35AN2,265000.0,468750.0,270000.0,475000.0
456,13BN1,270000.0,568750.0,275000.0,575000.0
457,43FZ2,95000.0,412500.0,100000.0,418750.0
458,18BN1,270000.0,543750.0,275000.0,550000.0
459,21BZ1,190000.0,512500.0,195000.0,518750.0
460,20EZ2,165000.0,512500.0,170000.0,518750.0
461,03GZ1,240000.0,600000.0,245000.0,606250.0
462,37AN2,65000.0,443750.0,70000.0,450000.0
463,28HZ2,255000.0,475000.0,260000.0,481250.0
464,37EN1,80000.0,443750.0,85000.0,450000.0
465,13CZ2,265000.0,550000.0,270000.0,556250.0
466,65EZ1,40000.0,393750.0,45000.0,400000.0
467,38FZ2,135000.0,437500.0,140000.0,443750.0
468,28DZ1,230000.0,475000.0,235000.0,481250.0
469,46BZ1,190000.0,412500.0,195000.0,418750.0
470,44BZ2,115000.0,412500.0,120000.0,418750.0
471,07CZ2,225000.0,575000.0,230000.0,581250.0
472,38HN2,135000.0,431250.0,140000.0,437500.0
473,16HZ2,215000.0,525000.0,220000.0,531250.0
474,40BN1,190000.0,443750.0,195000.0,450000.0
475,31DN1,110000.0,456250.0,115000.0,462500.0
476,25EZ1,120000.0,487500.0,125000.0,493750.0
477,34EZ1,240000.0,462500.0,245000.0,468750.0
478,17GZ1,240000.0,525000.0,245000.0,531250.0
479,41BN2,235000.0,443750.0,240000.0,450000.0
480,43AN2,65000.0,418750.0,70000.0,425000.0
481,45GZ1,160000.0,400000.0,165000.0,406250.0
482,09EN1,120000.0,568750.0,125000.0,575000.0
483,08AN1,260000.0,593750.0,265000.0,600000.0
484,44GN1,120000.0,406250.0,125000.0,412500.0
485,23AN1,260000.0,518750.0,265000.0,525000.0
486,44FZ1,130000.0,412500.0,135000.0,418750.0
487,58EN1,200000.0,368750.0,205000.0,375000.0
488,37FZ2,95000.0,437500.0,100000.0,443750.0
489,38CZ2,105000.0,425000.0,110000.0,431250.0
490,33CZ1,180000.0,450000.0,185000.0,456250.0
491,57GN2,165000.0,356250.0,170000.0,362500.0
492,13AZ2,265000.0,562500.0,270000.0,568750.0
493,39EZ2,165000.0,437500.0,170000.0,443750.0
494,22DZ2,235000.0,500000.0,240000.0,506250.0
495,12DZ1,230000.0,550000.0,235000.0,556250.0
496,25GZ1,120000.0,475000.0,125000.0,481250.0
497,34DN1,230000.0,456250.0,235000.0,462500.0
498,44FN1,130000.0,418750.0,135000.0,425000.0
499,67CN1,20000.0,362500.0,25000.0,368750.0
500,12AZ2,225000.0,562500.0,230000.0,568750.0
501,51AZ1,140000.0,387500.0,145000.0,393750.0
502,51FZ1,170000.0,387500.0,175000.0,393750.0
503,17AN2,225000.0,543750.0,230000.0,550000.0
504,02GN2,205000.0,606250.0,210000.0,612500.0
505,11EZ2,205000.0,562500.0,210000.0,568750.0
